,X,Y,FID,Hora,Fecha,Comuna,Cód_Tipo_,Cód_Tipo1,Cód_Zona,Cód_Ubica,Cód_Causa,Cód_Cau_1,Cód_Calza,Cód__Tipo,Cód_Estad,Cód_Condi,Cód_Est_1,Fallecidos,Graves,Menos_Grav,Leves,Encoded_mes,Encoded_comuna
183,-70.610268,-33.377308,591,00:00:00,01,HUECHURABA,31,30,1,1,1,14,2,2,1,1,1,0,1,0,0,01,7
184,-70.736832,-33.452976,592,01:30:00,01,LO PRADO,51,40,1,16,4,24,3,2,1,1,1,0,0,0,2,01,18
185,-70.572556,-33.458942,593,01:35:00,01,ÑUÑOA,30,30,1,1,4,24,2,1,1,1,1,0,0,0,0,01,39
186,-70.534122,-33.3837939,594,02:23:00,01,VITACURA,51,40,1,26,4,24,2,2,1,1,1,0,0,0,1,01,38
187,-70.53727,-33.407654,595,02:30:00,01,LAS CONDES,33,30,1,1,14,98,2,2,2,1,1,0,0,0,0,01,15
188,-70.619995,-33.432549,596,04:30:00,01,PROVIDENCIA,99,99,1,1,4,24,1,2,1,1,1,0,0,0,0,01,25
189,-70.6921771,-33.4973426,597,07:20:00,01,CERRILLOS,33,30,1,1,1,28,3,2,1,1,1,0,0,0,0,01,1
190,-70.568703,-33.470638,598,07:50:00,01,PEÑALOLEN,33,30,1,1,1,91,3,4,2,1,1,0,0,0,0,01,23
191,-70.599899,-33.523514,599,08:15:00,01,LA FLORIDA,33,30,1,1,1,27,3,2,1,1,1,0,0,0,0,01,10
192,-70.599899,-33.523514,600,08:15:00,01,LA FLORIDA,32,30,1,1,14,98,1,1,1,1,1,0,0,0,0,01,10
193,-70.687996,-33.432796,601,08:15:00,01,QUINTA NORMAL,32,30,1,1,1,29,2,2,1,1,1,0,0,0,1,01,29
194,-70.610565,-33.448498,602,08:45:00,01,ÑUÑOA,32,30,1,11,1,27,1,2,1,1,1,0,0,0,1,01,39
195,-70.5978366,-33.4413044,603,08:50:00,01,PROVIDENCIA,10,10,1,11,13,97,1,2,1,1,1,0,0,0,1,01,25
196,-70.784912,-33.56543,604,09:00:00,01,MAIPU,30,30,1,1,14,98,2,1,1,1,1,0,0,0,0,01,20
197,-70.556892,-33.476654,605,09:00:00,01,PEÑALOLEN,33,30,1,1,1,29,2,4,1,1,1,0,0,0,1,01,23
198,-70.6272194,-33.4553141,606,09:40:00,01,ÑUÑOA,33,30,1,11,1,28,2,2,1,1,1,0,0,0,0,01,39
199,-70.75724,-33.493874,607,10:00:00,01,MAIPU,32,30,1,11,1,28,3,1,1,1,1,0,0,0,0,01,20
